id_linha,circular,letreiro_numerico,sentido,tipo_letreiro,terminal_principal,terminal_secundario
33462,False,2161,2,10,PÇA. DO CORREIO,PQ. EDU CHAVES
697,False,2175,1,10,TERM. PQ. D. PEDRO II,PQ. EDU CHAVES
33465,False,2175,2,10,TERM. PQ. D. PEDRO II,PQ. EDU CHAVES
700,False,2182,1,10,PÇA. DO CORREIO,JD. BRASIL
33468,False,2182,2,10,PÇA. DO CORREIO,JD. BRASIL
909,False,2201,1,10,CPTM GUAIANASES,DIV. DE FERRAZ
33677,False,2201,2,10,CPTM GUAIANASES,DIV. DE FERRAZ
910,False,2202,1,10,CPTM GUAIANASES,JD. DAS OLIVEIRAS
33678,False,2202,2,10,CPTM GUAIANASES,JD. DAS OLIVEIRAS
911,False,2203,1,10,SHOP. PENHA,BURGO PAULISTA
33679,False,2203,2,10,SHOP. PENHA,BURGO PAULISTA
718,False,2290,1,10,TERM. PQ. D. PEDRO II,TERM. SÃO MATEUS
33486,False,2290,2,10,TERM. PQ. D. PEDRO II,TERM. SÃO MATEUS
1881,False,2290,1,21,TERM. PQ. D. PEDRO II,SÃO MATEUS
34649,False,2290,2,21,TERM. PQ. D. PEDRO II,SÃO MATEUS
249,False,233A,1,10,TERM. VL. CARRÃO,JD. HELENA
33017,False,233A,2,10,TERM. VL. CARRÃO,JD. HELENA
155,False,233C,1,10,CERET,TERM. A. E. CARVALHO
32923,False,233C,2,10,CERET,TERM. A. E. CARVALHO
135,False,2363,1,10,TERM. PQ. D. PEDRO II,JD. DANFER
32903,False,2363,2,10,TERM. PQ. D. PEDRO II,JD. DANFER
210,False,2435,1,10,TERM. ARICANDUVA,JD. COIMBRA
32978,False,2435,2,10,TERM. ARICANDUVA,JD. COIMBRA
213,False,2451,1,10,TERM. ARICANDUVA,VL. SÃO FRANCISCO
32981,False,2451,2,10,TERM. ARICANDUVA,VL. SÃO FRANCISCO
140,False,2522,1,10,METRÔ ITAQUERA,JD. STO. ANTÔNIO
32908,False,2522,2,10,METRÔ ITAQUERA,JD. STO. ANTÔNIO
250,False,2523,1,10,TERM. A. E. CARVALHO,VL. PROGRESSO
33018,False,2523,2,10,TERM. A. E. CARVALHO,VL. PROGRESSO
158,False,253F,1,10,TERM. SÃO MATEUS,TERM. A. E. CARVALHO
32926,False,253F,2,10,TERM. SÃO MATEUS,TERM. A. E. CARVALHO
141,False,2551,1,10,TERM. PQ. D. PEDRO II,TERM. A. E. CARVALHO
32909,False,2551,2,10,TERM. PQ. D. PEDRO II,TERM. A. E. CARVALHO
142,False,2552,1,10,TERM. PQ. D. PEDRO II,VL. MARA
32910,False,2552,2,10,TERM. PQ. D. PEDRO II,VL. MARA
1717,False,2552,1,41,TERM. PQ. D. PEDRO II,JD. SÃO MARTINHO
34485,False,2552,2,41,TERM. PQ. D. PEDRO II,JD. SÃO MARTINHO
374,False,2582,1,10,TERM. PQ. D. PEDRO II,VL. NOVA CURUÇÁ
33142,False,2582,2,10,TERM. PQ. D. PEDRO II,VL. NOVA CURUÇÁ
1770,False,2582,1,21,TERM. PQ. D. PEDRO II,CID. PEDRO JOSÉ NUNES
34538,False,2582,2,21,TERM. PQ. D. PEDRO II,CID. PEDRO JOSÉ NUNES
375,False,2583,1,10,TERM. ARICANDUVA,VL. CURUÇÁ
33143,False,2583,2,10,TERM. ARICANDUVA,VL. CURUÇÁ
912,False,2590,1,10,PQ. D. PEDRO II,UNIÃO DE VL. NOVA
33680,False,2590,2,10,PQ. D. PEDRO II,UNIÃO DE VL. NOVA
376,False,2626,1,10,TERM. PQ. D. PEDRO II,JD. NAZARÉ
33144,False,2626,2,10,TERM. PQ. D. PEDRO II,JD. NAZARÉ
252,False,263C,1,10,COHAB II,JD. HELENA
33020,False,263C,2,10,COHAB II,JD. HELENA
219,False,263J,1,10,CONJ. JOSÉ BONIFÁCIO,PENHA
32987,False,263J,2,10,CONJ. JOSÉ BONIFÁCIO,PENHA
378,False,2666,1,10,TERM. PQ. D. PEDRO II,JD. CAMARGO VELHO
33146,False,2666,2,10,TERM. PQ. D. PEDRO II,JD. CAMARGO VELHO
