id_x,timestamp_coleta_x,id_onibus,letreiro_linha,latitude,longitude,timestamp_posicao,id_y,timestamp_coleta_y,id_linha,id_parada,horario_previsao
367886,2025-08-15 09:01:02.828951,78780,6258-10,-23.654092499999997,-46.710306,2025-08-15T12:00:25Z,,,,,
367887,2025-08-15 09:01:02.828951,66200,6L07-10,-23.767210499999997,-46.7163985,2025-08-15T12:00:32Z,,,,,
367888,2025-08-15 09:01:02.828951,63251,5129-41,-23.651837999999998,-46.68702425,2025-08-15T12:00:58Z,,,,,
367889,2025-08-15 09:01:02.828951,63352,5129-41,-23.680734,-46.635801,2025-08-15T12:00:52Z,,,,,
367890,2025-08-15 09:01:02.828951,63331,5129-41,-23.666869750000004,-46.654607500000004,2025-08-15T12:00:47Z,,,,,
367891,2025-08-15 09:01:02.828951,63180,5129-41,-23.6535685,-46.703556,2025-08-15T12:00:37Z,,,,,
367892,2025-08-15 09:01:02.828951,81159,771P-10,-23.585169999999998,-46.7660465,2025-08-15T12:00:20Z,,,,,
367893,2025-08-15 09:01:02.828951,63260,5614-10,-23.6006175,-46.651394499999995,2025-08-15T12:00:59Z,,,,,
367894,2025-08-15 09:01:02.828951,63286,5614-10,-23.7092995,-46.6274855,2025-08-15T12:00:36Z,,,,,
367895,2025-08-15 09:01:02.828951,63355,5614-10,-23.661293,-46.679432000000006,2025-08-15T12:00:46Z,,,,,
367896,2025-08-15 09:01:02.828951,63361,5614-10,-23.5521755,-46.6354605,2025-08-15T12:00:32Z,,,,,
367897,2025-08-15 09:01:02.828951,72822,6803-10,-23.6548925,-46.753122,2025-08-15T12:00:55Z,,,,,
367898,2025-08-15 09:01:02.828951,72575,6803-10,-23.6548925,-46.753122,2025-08-15T12:00:55Z,,,,,
367899,2025-08-15 09:01:02.828951,72578,6803-10,-23.6642385,-46.741112,2025-08-15T12:00:43Z,,,,,
367900,2025-08-15 09:01:02.828951,31005,4314-10,-23.554338125,-46.446109,2025-08-15T12:00:33Z,,,,,
367901,2025-08-15 09:01:02.828951,31031,4314-10,-23.549139,-46.625673500000005,2025-08-15T12:00:33Z,,,,,
367902,2025-08-15 09:01:02.828951,31619,4314-10,-23.5501565,-46.5084455,2025-08-15T12:00:52Z,,,,,
367903,2025-08-15 09:01:02.828951,31774,4314-10,-23.564459,-46.415409499999996,2025-08-15T12:00:59Z,,,,,
367904,2025-08-15 09:01:02.828951,78351,7009-10,-23.698998,-46.7798875,2025-08-15T12:00:57Z,,,,,
367905,2025-08-15 09:01:02.828951,66880,6020-10,-23.826263,-46.7441395,2025-08-15T12:00:55Z,,,,,
367906,2025-08-15 09:01:02.828951,31335,2523-10,-23.517013,-46.4437475,2025-08-15T12:00:18Z,,,,,
367907,2025-08-15 09:01:02.828951,31359,2523-10,-23.5216,-46.4253885,2025-08-15T12:00:31Z,,,,,
367908,2025-08-15 09:01:02.828951,31352,2523-10,-23.5216,-46.4253885,2025-08-15T12:00:39Z,,,,,
367909,2025-08-15 09:01:02.828951,55369,5025-10,-23.5963995,-46.5774675,2025-08-15T12:00:21Z,,,,,
367910,2025-08-15 09:01:02.828951,55322,5025-10,-23.60857425,-46.54131325,2025-08-15T12:00:39Z,,,,,
367911,2025-08-15 09:01:02.828951,55351,5025-10,-23.605711999999997,-46.5406305,2025-08-15T12:00:58Z,,,,,
367912,2025-08-15 09:01:02.828951,55288,5025-10,-23.597359500000003,-46.564299625000004,2025-08-15T12:00:47Z,,,,,
367913,2025-08-15 09:01:02.828951,10210,948A-10,-23.48048525,-46.713569500000006,2025-08-15T12:00:35Z,,,,,
367914,2025-08-15 09:01:02.828951,10206,948A-10,-23.521136249999998,-46.699423249999995,2025-08-15T12:00:49Z,,,,,
367915,2025-08-15 09:01:02.828951,66297,6L03-10,-23.879709,-46.778187,2025-08-15T12:00:23Z,,,,,
367916,2025-08-15 09:01:02.828951,26042,1786-10,-23.47761,-46.620828,2025-08-15T12:00:27Z,,,,,
367917,2025-08-15 09:01:02.828951,26481,1786-10,-23.45376775,-46.607023,2025-08-15T12:00:27Z,,,,,
367918,2025-08-15 09:01:02.828951,26512,1786-10,-23.45376775,-46.607023,2025-08-15T12:00:51Z,,,,,
367919,2025-08-15 09:01:02.828951,45723,3069-10,-23.618599,-46.4234555,2025-08-15T12:00:26Z,,,,,
367920,2025-08-15 09:01:02.828951,45726,3069-10,-23.6187215,-46.414438000000004,2025-08-15T12:01:00Z,,,,,
367921,2025-08-15 09:01:02.828951,45379,3069-10,-23.60662525,-46.41692075,2025-08-15T12:00:31Z,,,,,
367922,2025-08-15 09:01:02.828951,45369,3069-10,-23.610351,-46.4161405,2025-08-15T12:00:21Z,,,,,
